Batsman Name,Team,Dots,Singles,Doubles,Triples,Fours,Sixes,Runs,Deliveries,Opposition Team,Career Average,Match ID,Match Date,Match Year,Venue,,
ST Jayasuriya,Sri Lanka,23,6,1,1,1,0,15,32,England,32.36,1443,May-14-1999,1999,Lord's,,
RS Mahanama,Sri Lanka,15,2,0,1,0,0,5,18,England,29.49,1443,May-14-1999,1999,Lord's,,
MS Atapattu,Sri Lanka,6,3,0,0,0,0,3,9,England,37.57,1443,May-14-1999,1999,Lord's,,
HP Tillakaratne,Sri Lanka,6,2,0,0,0,0,2,8,England,29.6,1443,May-14-1999,1999,Lord's,,
PA de Silva,Sri Lanka,6,0,0,0,0,0,0,6,England,34.9,1443,May-14-1999,1999,Lord's,,
A Ranatunga,Sri Lanka,23,13,3,0,1,1,29,41,England,35.84,1443,May-14-1999,1999,Lord's,,
RS Kaluwitharana,Sri Lanka,31,14,5,1,7,0,55,58,England,22.22,1443,May-14-1999,1999,Lord's,,
WPUJC Vaas,Sri Lanka,22,9,0,1,1,0,16,33,England,13.68,1443,May-14-1999,1999,Lord's,,
KEA Upashantha,Sri Lanka,13,4,0,0,1,0,8,18,England,7,1443,May-14-1999,1999,Lord's,,
GP Wickramasinghe,Sri Lanka,12,3,2,0,1,0,11,18,England,8.6,1443,May-14-1999,1999,Lord's,,
M Muralitharan,Sri Lanka,2,2,0,0,1,0,6,5,England,6.8,1443,May-14-1999,1999,Lord's,,
N Hussain,England,22,7,0,1,1,0,14,31,Sri Lanka,30.28,1443,May-14-1999,1999,Lord's,,
AJ Stewart,England,90,34,12,2,6,0,88,144,Sri Lanka,31.6,1443,May-14-1999,1999,Lord's,,
GA Hick,England,39,37,6,1,2,2,72,87,Sri Lanka,37.33,1443,May-14-1999,1999,Lord's,,
GP Thorpe,England,7,6,0,1,1,0,13,15,Sri Lanka,37.18,1443,May-14-1999,1999,Lord's,,
SC Ganguly,India,91,35,2,3,11,1,98,143,South Africa,41.02,1444,May-15-1999,1999,Hove,,
SR Tendulkar,India,32,8,0,0,5,0,28,45,South Africa,44.83,1444,May-15-1999,1999,Hove,,
R Dravid,India,36,30,2,0,5,0,54,73,South Africa,39.16,1444,May-15-1999,1999,Hove,,
M Azharuddin,India,8,11,2,0,2,0,23,23,South Africa,36.92,1444,May-15-1999,1999,Hove,,
A Jadeja,India,6,5,1,0,2,0,15,14,South Africa,37.47,1444,May-15-1999,1999,Hove,,
RR Singh,India,0,2,1,0,0,0,4,3,South Africa,25.95,1444,May-15-1999,1999,Hove,,
NR Mongia,India,0,1,0,0,1,0,5,2,South Africa,20.19,1444,May-15-1999,1999,Hove,,
G Kirsten,South Africa,16,1,0,0,0,0,1,17,India,40.95,1444,May-15-1999,1999,Hove,,
HH Gibbs,South Africa,5,1,1,0,1,0,7,8,India,36.13,1444,May-15-1999,1999,Hove,,
MV Boucher,South Africa,21,7,1,1,4,1,34,35,India,28.57,1444,May-15-1999,1999,Hove,,
JH Kallis,South Africa,67,49,10,0,7,0,97,133,India,44.36,1444,May-15-1999,1999,Hove,,
DJ Cullinan,South Africa,22,7,0,0,3,0,19,32,India,32.99,1444,May-15-1999,1999,Hove,,
WJ Cronje,South Africa,11,13,1,0,3,0,27,28,India,38.64,1444,May-15-1999,1999,Hove,,
JN Rhodes,South Africa,10,12,4,0,5,0,40,31,India,35.11,1444,May-15-1999,1999,Hove,,
L Klusener,South Africa,1,0,0,0,3,0,12,4,India,41.1,1444,May-15-1999,1999,Hove,,
KO Otieno,Kenya,27,6,0,0,2,0,14,35,Zimbabwe,18.5,1445,May-15-1999,1999,Taunton,,
RD Shah,Kenya,25,9,3,1,5,0,38,43,Zimbabwe,49.18,1445,May-15-1999,1999,Taunton,,
SO Tikolo,Kenya,14,2,0,1,1,0,9,18,Zimbabwe,28.75,1445,May-15-1999,1999,Taunton,,
MO Odumbe,Kenya,37,19,1,0,0,0,21,57,Zimbabwe,34.34,1445,May-15-1999,1999,Taunton,,
HS Modi,Kenya,15,3,0,0,1,0,7,19,Zimbabwe,31.38,1445,May-15-1999,1999,Taunton,,
AV Vadher,Kenya,60,19,5,0,5,1,55,90,Zimbabwe,6.33,1445,May-15-1999,1999,Taunton,,
TM Odoyo,Kenya,8,8,0,0,2,2,28,20,Zimbabwe,9.5,1445,May-15-1999,1999,Taunton,,
AY Karim,Kenya,12,3,1,0,2,1,19,19,Zimbabwe,17.5,1445,May-15-1999,1999,Taunton,,
AO Suji,Kenya,1,3,0,0,0,0,3,4,Zimbabwe,5,1445,May-15-1999,1999,Taunton,,
NC Johnson,Zimbabwe,44,15,2,0,7,2,59,70,Kenya,36.5,1445,May-15-1999,1999,Taunton,,
GW Flower,Zimbabwe,20,9,2,1,1,0,20,33,Kenya,33.52,1445,May-15-1999,1999,Taunton,,
PA Strang,Zimbabwe,12,3,1,0,3,2,29,21,Kenya,22.24,1445,May-15-1999,1999,Taunton,,
MW Goodwin,Zimbabwe,11,9,0,0,2,0,17,22,Kenya,27.13,1445,May-15-1999,1999,Taunton,,
A Flower,Zimbabwe,26,15,2,1,3,0,34,47,Kenya,35.34,1445,May-15-1999,1999,Taunton,,
ADR Campbell,Zimbabwe,35,6,2,1,5,0,33,49,Kenya,30.5,1445,May-15-1999,1999,Taunton,,
GJ Whittall,Zimbabwe,8,1,0,0,1,1,11,11,Kenya,22.54,1445,May-15-1999,1999,Taunton,,
BMW Patterson,Scotland,25,1,0,0,1,0,5,27,Australia,44.76,1446,May-16-1999,1999,Worcester,,
IL Philip,Scotland,52,9,2,1,0,0,16,64,Australia,43.73,1446,May-16-1999,1999,Worcester,,
MJD Allingham,Scotland,25,3,0,0,0,0,3,28,Australia,45.5,1446,May-16-1999,1999,Worcester,,
MJ Smith,Scotland,24,6,0,1,1,0,13,32,Australia,36.25,1446,May-16-1999,1999,Worcester,,
G Salmond,Scotland,37,7,8,0,2,0,31,54,Australia,46.73,1446,May-16-1999,1999,Worcester,,
GM Hamilton,Scotland,21,14,4,0,3,0,34,42,Australia,35.17,1446,May-16-1999,1999,Worcester,,
JE Brinkley,Scotland,19,8,2,0,3,0,24,32,Australia,10.71,1446,May-16-1999,1999,Worcester,,
AG Davies,Scotland,5,4,2,0,0,0,8,11,Australia,20,1446,May-16-1999,1999,Worcester,,
JAR Blain,Scotland,4,3,0,0,0,0,3,7,Australia,2,1446,May-16-1999,1999,Worcester,,
AC Gilchrist,Australia,13,2,0,0,1,0,6,16,Scotland,35.89,1446,May-16-1999,1999,Worcester,,
ME Waugh,Australia,71,29,9,0,5,0,67,114,Scotland,39.35,1446,May-16-1999,1999,Worcester,,
RT Ponting,Australia,43,13,1,2,3,0,33,62,Scotland,42.03,1446,May-16-1999,1999,Worcester,,
DS Lehmann,Australia,2,0,0,0,0,0,0,2,Scotland,38.96,1446,May-16-1999,1999,Worcester,,
SR Waugh,Australia,46,12,3,1,7,0,49,69,Scotland,32.9,1446,May-16-1999,1999,Worcester,,
MG Bevan,Australia,7,5,1,0,1,0,11,14,Scotland,53.58,1446,May-16-1999,1999,Worcester,,
Saeed Anwar,Pakistan,28,2,0,0,2,0,10,32,West Indies,39.21,1447,May-16-1999,1999,Bristol,,
Shahid Afridi,Pakistan,13,3,2,0,1,0,11,19,West Indies,23.57,1447,May-16-1999,1999,Bristol,,
Abdul Razzaq,Pakistan,30,3,0,0,1,0,7,34,West Indies,29.7,1447,May-16-1999,1999,Bristol,,
Ijaz Ahmed,Pakistan,49,15,1,1,4,0,36,70,West Indies,32.33,1447,May-16-1999,1999,Bristol,,
Inzamam-ul-Haq,Pakistan,1,0,0,0,0,0,0,1,West Indies,39.52,1447,May-16-1999,1999,Bristol,,
Yousuf Youhana,Pakistan,26,24,1,0,2,0,34,53,West Indies,41.71,1447,May-16-1999,1999,Bristol,,
Azhar Mahmood,Pakistan,26,22,0,0,1,2,38,51,West Indies,18.1,1447,May-16-1999,1999,Bristol,,
Wasim Akram,Pakistan,10,11,0,0,3,2,35,26,West Indies,16.52,1447,May-16-1999,1999,Bristol,,
Moin Khan,Pakistan,2,2,0,0,0,0,2,4,West Indies,23,1447,May-16-1999,1999,Bristol,,
Saqlain Mushtaq,Pakistan,0,0,0,0,0,0,0,0,West Indies,11.85,1447,May-16-1999,1999,Bristol,,
SL Campbell,West Indies,10,3,0,0,0,1,9,14,Pakistan,26.24,1447,May-16-1999,1999,Bristol,,
RD Jacobs,West Indies,36,5,1,0,3,1,25,46,Pakistan,23.31,1447,May-16-1999,1999,Bristol,,
JC Adams,West Indies,36,4,0,1,4,0,23,45,Pakistan,28.62,1447,May-16-1999,1999,Bristol,,
BC Lara,West Indies,3,3,0,0,2,0,11,8,Pakistan,40.48,1447,May-16-1999,1999,Bristol,,
S Chanderpaul,West Indies,39,22,12,0,5,0,66,78,Pakistan,41.6,1447,May-16-1999,1999,Bristol,,
RL Powell,West Indies,20,1,0,1,0,0,4,22,Pakistan,24.82,1447,May-16-1999,1999,Bristol,,
PV Simmons,West Indies,11,5,0,0,0,0,5,16,Pakistan,28.93,1447,May-16-1999,1999,Bristol,,
CEL Ambrose,West Indies,8,1,0,0,0,0,1,9,Pakistan,10.65,1447,May-16-1999,1999,Bristol,,
KLT Arthurton,West Indies,9,1,2,0,0,0,5,12,Pakistan,26.08,1447,May-16-1999,1999,Bristol,,
M Dillon,West Indies,18,2,0,1,0,0,5,21,Pakistan,7.32,1447,May-16-1999,1999,Bristol,,
CA Walsh,West Indies,1,0,0,0,0,0,0,1,Pakistan,6.97,1447,May-16-1999,1999,Bristol,,
Shahriar Hossain,Bangladesh,3,0,0,0,0,0,0,3,New Zealand,19.05,1448,May-17-1999,1999,Chelmsford,,
Mehrab Hossain,Bangladesh,3,0,1,0,0,0,2,4,New Zealand,24.94,1448,May-17-1999,1999,Chelmsford,,
Akram Khan,Bangladesh,25,4,2,0,2,0,16,33,New Zealand,23.23,1448,May-17-1999,1999,Chelmsford,,
Aminul Islam,Bangladesh,33,5,1,0,2,0,15,41,New Zealand,23.35,1448,May-17-1999,1999,Chelmsford,,
Khaled Mashud,Bangladesh,11,4,0,0,0,0,4,15,New Zealand,21.9,1448,May-17-1999,1999,Chelmsford,,
Naimur Rahman,Bangladesh,40,5,5,1,0,0,18,51,New Zealand,19.52,1448,May-17-1999,1999,Chelmsford,,
Khaled Mahmud,Bangladesh,5,1,1,0,0,0,3,7,New Zealand,14.36,1448,May-17-1999,1999,Chelmsford,,
Mohammad Rafique,Bangladesh,1,0,0,0,0,0,0,1,New Zealand,13.38,1448,May-17-1999,1999,Chelmsford,,
Enamul Haque,Bangladesh,34,2,1,1,3,0,19,41,New Zealand,11.23,1448,May-17-1999,1999,Chelmsford,,
Hasibul Hossain,Bangladesh,21,4,1,0,1,1,16,28,New Zealand,8.6,1448,May-17-1999,1999,Chelmsford,,
Manjural Islam,Bangladesh,3,1,1,1,0,0,6,6,New Zealand,5.88,1448,May-17-1999,1999,Chelmsford,,
MJ Horne,New Zealand,66,14,1,1,4,0,35,86,Bangladesh,20.41,1448,May-17-1999,1999,Chelmsford,,
NJ Astle,New Zealand,4,0,0,0,1,0,4,5,Bangladesh,34.92,1448,May-17-1999,1999,Chelmsford,,
CD McMillan,New Zealand,20,0,2,0,4,0,20,26,Bangladesh,28.18,1448,May-17-1999,1999,Chelmsford,,
SP Fleming,New Zealand,25,4,2,0,2,0,16,33,Bangladesh,32.4,1448,May-17-1999,1999,Chelmsford,,
RG Twose,New Zealand,27,1,1,3,3,1,30,36,Bangladesh,38.81,1448,May-17-1999,1999,Chelmsford,,
CL Cairns,New Zealand,7,3,2,0,0,0,7,12,Bangladesh,29.46,1448,May-17-1999,1999,Chelmsford,,
KO Otieno,Kenya,8,0,0,0,0,0,0,8,England,18.5,1449,May-18-1999,1999,Canterbury,,
RD Shah,Kenya,53,17,5,1,4,0,46,80,England,49.18,1449,May-18-1999,1999,Canterbury,,
SO Tikolo,Kenya,70,22,4,3,8,0,71,107,England,28.75,1449,May-18-1999,1999,Canterbury,,
MO Odumbe,Kenya,9,3,0,1,0,0,6,13,England,34.34,1449,May-18-1999,1999,Canterbury,,
HS Modi,Kenya,9,1,0,0,1,0,5,11,England,31.38,1449,May-18-1999,1999,Canterbury,,
AV Vadher,Kenya,16,2,0,0,1,0,6,19,England,6.33,1449,May-18-1999,1999,Canterbury,,
TM Odoyo,Kenya,17,7,3,1,3,1,34,32,England,9.5,1449,May-18-1999,1999,Canterbury,,
AY Karim,Kenya,12,3,1,0,1,0,9,17,England,17.5,1449,May-18-1999,1999,Canterbury,,
AO Suji,Kenya,2,2,1,0,0,0,4,5,England,5,1449,May-18-1999,1999,Canterbury,,
M Sheikh,Kenya,3,1,1,0,1,0,7,6,England,5.4,1449,May-18-1999,1999,Canterbury,,
MA Suji,Kenya,3,0,0,0,0,0,0,3,England,25.04,1449,May-18-1999,1999,Canterbury,,
N Hussain,England,83,27,4,1,11,1,88,127,Kenya,30.28,1449,May-18-1999,1999,Canterbury,,
AJ Stewart,England,16,5,1,0,4,0,23,26,Kenya,31.6,1449,May-18-1999,1999,Canterbury,,
GA Hick,England,57,21,2,0,9,0,61,89,Kenya,37.33,1449,May-18-1999,1999,Canterbury,,
NC Johnson,Zimbabwe,7,1,1,0,1,0,7,10,India,36.5,1450,May-19-1999,1999,Leicester,,
GW Flower,Zimbabwe,63,18,5,2,4,0,50,92,India,33.52,1450,May-19-1999,1999,Leicester,,
PA Strang,Zimbabwe,17,3,3,1,1,0,16,25,India,22.24,1450,May-19-1999,1999,Leicester,,
MW Goodwin,Zimbabwe,33,3,1,0,3,0,17,40,India,27.13,1450,May-19-1999,1999,Leicester,,
A Flower,Zimbabwe,35,36,9,3,2,0,71,85,India,35.34,1450,May-19-1999,1999,Leicester,,
ADR Campbell,Zimbabwe,14,12,0,0,3,0,24,29,India,30.5,1450,May-19-1999,1999,Leicester,,
GJ Whittall,Zimbabwe,5,1,1,0,0,0,3,7,India,22.54,1450,May-19-1999,1999,Leicester,,
SV Carlisle,Zimbabwe,1,1,0,0,0,0,1,2,India,27.67,1450,May-19-1999,1999,Leicester,,
HH Streak,Zimbabwe,9,7,0,0,2,0,15,18,India,28.29,1450,May-19-1999,1999,Leicester,,
EA Brandes,Zimbabwe,3,1,0,0,0,0,1,4,India,13.03,1450,May-19-1999,1999,Leicester,,
HK Olonga,Zimbabwe,2,1,0,0,0,0,1,3,India,7.3,1450,May-19-1999,1999,Leicester,,
SC Ganguly,India,5,1,0,0,2,0,9,8,Zimbabwe,41.02,1450,May-19-1999,1999,Leicester,,
S Ramesh,India,41,25,6,0,3,1,55,76,Zimbabwe,28.08,1450,May-19-1999,1999,Leicester,,
R Dravid,India,8,3,1,0,2,0,13,14,Zimbabwe,39.16,1450,May-19-1999,1999,Leicester,,
M Azharuddin,India,8,1,1,0,1,0,7,11,Zimbabwe,36.92,1450,May-19-1999,1999,Leicester,,
A Jadeja,India,43,29,1,0,4,0,47,77,Zimbabwe,37.47,1450,May-19-1999,1999,Leicester,,
RR Singh,India,21,19,6,0,1,0,35,47,Zimbabwe,25.95,1450,May-19-1999,1999,Leicester,,
AB Agarkar,India,4,1,0,0,0,0,1,5,Zimbabwe,14.58,1450,May-19-1999,1999,Leicester,,
NR Mongia,India,9,10,2,0,2,1,28,24,Zimbabwe,20.19,1450,May-19-1999,1999,Leicester,,
J Srinath,India,6,2,2,0,0,2,18,12,Zimbabwe,10.63,1450,May-19-1999,1999,Leicester,,
A Kumble,India,0,1,0,0,0,0,1,1,Zimbabwe,10.53,1450,May-19-1999,1999,Leicester,,
BKV Prasad,India,1,0,0,0,0,0,0,1,Zimbabwe,6.9,1450,May-19-1999,1999,Leicester,,
G Kirsten,South Africa,10,0,1,0,3,0,14,14,Sri Lanka,40.95,1451,May-19-1999,1999,Northampton,,
